# ell   Cl_EE[μK^2]   Cl_BB[μK^2]
3.240000000000000000e+02 1.080200878309635977e-04 7.065181487370137872e-10
3.250000000000000000e+02 1.088488419394604770e-04 6.943772245167109170e-10
3.260000000000000000e+02 1.096615118052714688e-04 6.825315718478068035e-10
3.270000000000000000e+02 1.104576942608013714e-04 6.709849759697928852e-10
3.280000000000000000e+02 1.112369861384549289e-04 6.597412221221606006e-10
3.290000000000000000e+02 1.119989842706369123e-04 6.488040955444018019e-10
3.300000000000000000e+02 1.127432854897520928e-04 6.381773814760078242e-10
3.310000000000000000e+02 1.134694866282052550e-04 6.278648651564702094e-10
3.320000000000000000e+02 1.141772332755235060e-04 6.178686738573246874e-10
3.330000000000000000e+02 1.148663660497235129e-04 6.081843029782810510e-10
3.340000000000000000e+02 1.155367743259444008e-04 5.988055899510936944e-10
3.350000000000000000e+02 1.161883474793251592e-04 5.897263722075164949e-10
3.360000000000000000e+02 1.168209748850048318e-04 5.809404871793034332e-10
3.370000000000000000e+02 1.174345459181225574e-04 5.724417722982084899e-10
3.380000000000000000e+02 1.180289499538172846e-04 5.642240649959857492e-10
3.390000000000000000e+02 1.186040763672281792e-04 5.562812027043895019e-10
3.400000000000000000e+02 1.191598145334942172e-04 5.486070228551732117e-10
3.410000000000000000e+02 1.196960538277545236e-04 5.411953628800912728e-10
3.420000000000000000e+02 1.202126836251480609e-04 5.340400602108976659e-10
3.430000000000000000e+02 1.207095933008139676e-04 5.271349522793462684e-10
3.440000000000000000e+02 1.211866722298912468e-04 5.204738765171912676e-10
3.450000000000000000e+02 1.216438097875189558e-04 5.140506703561865409e-10
3.460000000000000000e+02 1.220808953488361926e-04 5.078591712280861724e-10
3.470000000000000000e+02 1.224978182889819873e-04 5.018932165646441426e-10
3.480000000000000000e+02 1.228944679830954107e-04 4.961466437976144323e-10
3.490000000000000000e+02 1.232707338063154660e-04 4.906132903587513323e-10
3.500000000000000000e+02 1.236265051337813187e-04 4.852869936798085132e-10
3.510000000000000000e+02 1.239616713406318908e-04 4.801615911925400590e-10
3.520000000000000000e+02 1.242761218020063208e-04 4.752309203287001571e-10
3.530000000000000000e+02 1.245697458930436659e-04 4.704888185200427883e-10
3.540000000000000000e+02 1.248424329888829021e-04 4.659291231983218298e-10
3.550000000000000000e+02 1.250940724646631681e-04 4.615456717952914174e-10
3.560000000000000000e+02 1.253245536955235483e-04 4.573323017427055318e-10
3.570000000000000000e+02 1.255337660566030185e-04 4.532828504723182570e-10
